cluster,word,pca_x,pca_y
0,sorcière,-0.5440816879272461,0.23969492316246033
0,sorcellerie,0.3315929174423218,-0.03590557351708412
0,femme,-1.0970841646194458,0.42315980792045593
0,procès,0.37867841124534607,0.20778267085552216
0,accusation,0.21824251115322113,-0.04905487224459648
0,justice,0.7700707912445068,0.09172260016202927
0,homme,-0.9502878189086914,-0.5975139737129211
0,musique,0.16266021132469177,0.035818472504615784
0,culture,0.6875054836273193,-0.14299432933330536
0,violence,0.042703595012426376,-0.17270949482917786
1,sorcière,-0.8200747966766357,0.17995671927928925
1,femme,-1.4808610677719116,-1.7443633079528809
1,procès,-0.25989773869514465,0.5294532179832458
1,justice,-0.21624861657619476,0.8174119591712952
1,homme,-0.26686808466911316,0.42219799757003784
1,musique,1.6997851133346558,-0.9293985366821289
1,culture,1.607979655265808,-0.12691964209079742
1,violence,-0.2638145387172699,0.8516620993614197
2,sorcière,-0.68743497133255,-0.1074984073638916
2,femme,0.10968035459518433,-0.4417727589607239
2,procès,0.2619209587574005,0.09617609530687332
2,justice,0.27336522936820984,0.07633571326732635
2,homme,-0.5547314882278442,0.20346802473068237
2,musique,0.4668009579181671,0.05579843372106552
2,violence,0.13039889931678772,0.11749283969402313
3,sorcière,0.12048795819282532,0.32822516560554504
3,sorcellerie,-0.4091603457927704,-0.05728695169091225
3,femme,0.7355588674545288,0.4813802242279053
3,procès,-0.12566368281841278,-0.05896928161382675
3,accusation,-0.40536829829216003,-0.028097275644540787
3,justice,-0.18235810101032257,-0.08515473455190659
3,homme,1.0300787687301636,-0.46137601137161255
3,musique,-0.4107521176338196,-0.024752983823418617
3,culture,-0.19960209727287292,0.015322486869990826
3,violence,-0.15322110056877136,-0.10929057747125626
4,sorcière,-0.4235531687736511,-0.20827104151248932
4,femme,-0.9295830130577087,-1.9803717136383057
4,procès,-0.4904433786869049,0.6289035081863403
4,accusation,-0.4828982353210449,0.5801242589950562
4,justice,-0.4447261691093445,0.6171309947967529
4,homme,-0.4158880114555359,0.11385825276374817
4,musique,2.0513367652893066,-0.14841219782829285
4,culture,1.651036024093628,-0.235290989279747
4,violence,-0.5152813792228699,0.6323291063308716
5,sorcière,0.4581202566623688,0.2018318772315979
5,sorcellerie,-0.35106149315834045,-0.05278937518596649
5,femme,1.0294783115386963,0.2924630641937256
5,procès,-0.3389835059642792,-0.054138753563165665
5,accusation,-0.38690441846847534,-0.09248209744691849
5,justice,-0.16065241396427155,-0.14159397780895233
5,homme,0.9436591267585754,-0.4368782043457031
5,musique,-0.23857736587524414,0.3257102370262146
5,culture,-0.7135701775550842,0.019410904496908188
5,violence,-0.24150830507278442,-0.06153383105993271
