cluster,word1,word2,similarity
0,sorcière,sorcellerie,0.8386558294296265
3,sorcière,sorcellerie,0.9144287705421448
5,sorcière,sorcellerie,0.8741877675056458
0,sorcière,femme,0.9497498869895935
1,sorcière,femme,0.7468729019165039
2,sorcière,femme,0.8760280609130859
3,sorcière,femme,0.9419236183166504
4,sorcière,femme,0.8172406554222107
5,sorcière,femme,0.9485200643539429
0,sorcière,procès,0.8003664016723633
1,sorcière,procès,0.8544198274612427
2,sorcière,procès,0.8945595026016235
3,sorcière,procès,0.9303684234619141
4,sorcière,procès,0.940196692943573
5,sorcière,procès,0.8737980127334595
0,sorcière,accusation,0.8764816522598267
3,sorcière,accusation,0.9202405214309692
4,sorcière,accusation,0.9401534199714661
5,sorcière,accusation,0.8568803071975708
0,sorcière,justice,0.671133279800415
1,sorcière,justice,0.8289927840232849
2,sorcière,justice,0.8676624298095703
3,sorcière,justice,0.9077809453010559
4,sorcière,justice,0.9242507815361023
5,sorcière,justice,0.897468626499176
0,sorcière,homme,0.8782251477241516
1,sorcière,homme,0.8930376768112183
2,sorcière,homme,0.9466519355773926
3,sorcière,homme,0.8387211561203003
4,sorcière,homme,0.8963868618011475
5,sorcière,homme,0.9254240989685059
0,sorcière,musique,0.9005933403968811
1,sorcière,musique,0.4335766136646271
2,sorcière,musique,0.7925529479980469
3,sorcière,musique,0.902411699295044
4,sorcière,musique,0.5601620078086853
5,sorcière,musique,0.895558774471283
0,sorcière,culture,0.7020184993743896
1,sorcière,culture,0.42879003286361694
3,sorcière,culture,0.9452800750732422
4,sorcière,culture,0.6463186740875244
5,sorcière,culture,0.7304782867431641
0,sorcière,violence,0.9046170711517334
1,sorcière,violence,0.8261643648147583
2,sorcière,violence,0.9103101491928101
3,sorcière,violence,0.9122810363769531
4,sorcière,violence,0.9260292053222656
5,sorcière,violence,0.8965370655059814
0,sorcellerie,sorcière,0.8386558294296265
3,sorcellerie,sorcière,0.9144287705421448
5,sorcellerie,sorcière,0.8741877675056458
0,sorcellerie,femme,0.7273625135421753
3,sorcellerie,femme,0.8019964694976807
5,sorcellerie,femme,0.7626025676727295
0,sorcellerie,procès,0.9207029342651367
3,sorcellerie,procès,0.9707621335983276
5,sorcellerie,procès,0.989411473274231
0,sorcellerie,accusation,0.95783531665802
3,sorcellerie,accusation,0.9944427013397217
5,sorcellerie,accusation,0.9961679577827454
0,sorcellerie,justice,0.8717557191848755
3,sorcellerie,justice,0.9654415249824524
5,sorcellerie,justice,0.9616098403930664
0,sorcellerie,homme,0.7333241105079651
3,sorcellerie,homme,0.7560386657714844
5,sorcellerie,homme,0.7776716947555542
0,sorcellerie,musique,0.9636597037315369
3,sorcellerie,musique,0.9765225052833557
5,sorcellerie,musique,0.9225466251373291
0,sorcellerie,culture,0.9302223920822144
3,sorcellerie,culture,0.9785224795341492
5,sorcellerie,culture,0.9524708986282349
0,sorcellerie,violence,0.9479324817657471
3,sorcellerie,violence,0.9644672274589539
5,sorcellerie,violence,0.9880027770996094
0,femme,sorcière,0.9497498869895935
1,femme,sorcière,0.7468729019165039
2,femme,sorcière,0.8760280609130859
3,femme,sorcière,0.9419236183166504
4,femme,sorcière,0.8172406554222107
5,femme,sorcière,0.9485200643539429
0,femme,sorcellerie,0.7273625135421753
3,femme,sorcellerie,0.8019964694976807
5,femme,sorcellerie,0.7626025676727295
0,femme,procès,0.7253812551498413
1,femme,procès,0.6593984365463257
2,femme,procès,0.9353838562965393
3,femme,procès,0.8604422807693481
4,femme,procès,0.6488298177719116
5,femme,procès,0.7532790899276733
0,femme,accusation,0.7734911441802979
3,femme,accusation,0.8008102178573608
4,femme,accusation,0.63782799243927
5,femme,accusation,0.7450456619262695
0,femme,justice,0.5577948689460754
1,femme,justice,0.6425478458404541
2,femme,justice,0.9390418529510498
3,femme,justice,0.841158390045166
4,femme,justice,0.6163245439529419
5,femme,justice,0.7940680384635925
0,femme,homme,0.8871580362319946
1,femme,homme,0.6131973266601562
2,femme,homme,0.8649765849113464
3,femme,homme,0.8886741399765015
4,femme,homme,0.610385537147522
5,femme,homme,0.9201360940933228
0,femme,musique,0.7881965637207031
1,femme,musique,0.45205315947532654
2,femme,musique,0.9208793044090271
3,femme,musique,0.770573616027832
4,femme,musique,0.341370552778244
5,femme,musique,0.7561289072036743
0,femme,culture,0.578226625919342
1,femme,culture,0.3362176716327667
3,femme,culture,0.8522254228591919
4,femme,culture,0.4096566438674927
5,femme,culture,0.5902434587478638
0,femme,violence,0.8057917356491089
1,femme,violence,0.6374328136444092
2,femme,violence,0.932590126991272
3,femme,violence,0.8450764417648315
4,femme,violence,0.6378505825996399
5,femme,violence,0.7881654500961304
0,procès,sorcière,0.8003664016723633
1,procès,sorcière,0.8544198274612427
2,procès,sorcière,0.8945595026016235
3,procès,sorcière,0.9303684234619141
4,procès,sorcière,0.940196692943573
5,procès,sorcière,0.8737980127334595
0,procès,sorcellerie,0.9207029342651367
3,procès,sorcellerie,0.9707621335983276
5,procès,sorcellerie,0.989411473274231
0,procès,femme,0.7253812551498413
1,procès,femme,0.6593984365463257
2,procès,femme,0.9353838562965393
3,procès,femme,0.8604422807693481
4,procès,femme,0.6488298177719116
5,procès,femme,0.7532790899276733
0,procès,accusation,0.9392883777618408
3,procès,accusation,0.9578574895858765
4,procès,accusation,0.9905663728713989
5,procès,accusation,0.9900137186050415
0,procès,justice,0.9019519686698914
1,procès,justice,0.9888802170753479
2,procès,justice,0.9908237457275391
3,procès,justice,0.9897806644439697
